Species	Date Collected	Plot	Sex	Weight (g)	Scaling Calibration
DM	2013-07-16	2	F	null	null
DM	2013-07-16	7	M	33	null
DM	2013-07-16	3	M	null	null
DM	2013-07-16	1	M	null	null
DM	2013-07-18	3	M	40	null
DM	2013-07-18	7	M	48	null
DM	2013-07-18	4	F	29	null
DM	2013-07-18	6	F	37	null
DO	2013-08-19	8	F	52	null
DO	2013-10-17	3	F	33	null
DO	2013-10-17	3	F	50	null
DO	2013-12-10	9	F	40	null
DO	2013-12-10	1	M	45	null
DO	2013-12-11	8	F	41	null
DS	2013-11-13	9	F	117	null
DS	2013-11-13	11	F	126	null
DS	2013-11-13	17	M	132	Not calibrated
DS	2013-11-13	14	F	113	Not calibrated
DS	2013-11-13	11	F	122	null
DS	2013-11-13	4	F	107	null
DS	2013-11-13	4	F	115	null
DM	2014-01-09	1	M	40	null
DM	2014-01-09	1	F	36	null
DM	2014-03-13	1	F	51	null
DM	2014-03-13	1	F	44	null
DM	2014-01-08	2	M	44	null
DM	2014-01-08	2	M	45	null
DM	2014-02-18	2	M	52	null
DM	1978-01-08	4	F	37	null
DM	1978-01-08	4	M	null	null
DM	1978-01-08	4	F	48	null
DO	1978-01-08	4	M	52	null
DS	2014-03-13	1	F	146	null
DS	2014-01-08	2	M	157	incorrect calibration
NA	1900-01-01	2		null	null
NA	2014-02-18	2	M	218	incorrect calibration
NA	2015-04-08	3	F	null	null
NA	2015-05-18	3	F	182	null
NA	2015-07-08	3	F	115	null
NA	2015-07-08	3	M	190	null
OL	1978-01-08	4	M	35	null
OT	2014-01-08	2	null		null
OT	2015-06-09	3	F	29	null
OX	2014-01-08	2	null	null	null
PF	2014-01-08	2	F	7	null
PF	2014-02-18	2	F	7	null
PF	2015-03-11	3	M	8	null
null	2015-05-06	3	null	null	null
